url,longitud_url,tiene_https,cantidad_guiones,cantidad_digitos,ranking_alexa,longitud_titulo,cantidad_palabras_clave,tiempo_registro,es_phishing
montoya.org,11,False,0,0,154053,17,5,20,False
kelly-richards.com,18,True,1,0,362758,48,4,1,False
mccormick.net,13,True,0,0,350690,30,11,7,False
ortega-ford.org,15,True,1,0,284370,24,7,11,False
smith.com,9,False,0,0,72863,18,14,10,True
woodward.com,12,False,0,0,5542,23,9,5,True
walker.com,10,False,0,0,112860,67,5,6,True
christensen-coleman.com,23,False,1,0,427699,22,12,15,False
hines.com,9,False,0,0,197352,30,10,9,False
mccarthy-schmitt.com,20,True,1,0,398676,12,9,16,True
knight-garcia.com,17,False,1,0,293539,29,14,16,True
rowe-brown.com,14,False,1,0,148419,13,12,13,True
king.com,8,False,0,0,114211,53,3,1,False
jenkins.net,11,True,0,0,241109,16,4,2,True
nichols-carter.com,18,True,1,0,213087,66,0,16,True
warren.biz,10,True,0,0,410060,52,0,19,True
wilson-mcfarland.net,20,False,1,0,393452,25,0,17,True
gonzalez.com,12,True,0,0,404570,26,3,17,False
ward-martin.com,15,False,1,0,470059,36,7,8,False
cain.com,8,False,0,0,205377,19,14,10,False
jacobson.com,12,False,0,0,171980,22,13,12,False
wood.com,8,False,0,0,147398,67,14,4,True
wallace.org,11,True,0,0,413936,12,14,14,True
wilson.net,10,False,0,0,231886,26,4,20,True
ortiz.org,9,False,0,0,440304,43,13,16,False
odonnell.com,12,False,0,0,122402,11,2,2,True
davis.biz,9,False,0,0,473738,43,0,12,False
aguilar-gordon.com,18,False,1,0,392122,17,2,18,False
lee.com,7,False,0,0,344028,54,14,14,True
mullen.com,10,True,0,0,52422,12,9,20,True
morrow.net,10,True,0,0,290857,45,15,19,True
mitchell.com,12,False,0,0,147813,67,11,13,True
malone.net,10,False,0,0,200559,68,6,16,False
thompson.com,12,True,0,0,107791,62,3,13,True
robinson.com,12,True,0,0,149503,36,11,7,True
jordan.com,10,False,0,0,253329,29,13,2,False
clark.com,9,False,0,0,416517,62,4,12,True
swanson.com,11,False,0,0,301313,29,6,11,False
clark-fry.com,13,False,1,0,100354,56,6,17,True
tucker.net,10,False,0,0,414927,38,15,13,True
cox.com,7,True,0,0,366157,66,9,10,False
johnson.net,11,True,0,0,64105,24,6,10,False
jones.com,9,False,0,0,68043,70,6,14,False
morrison.biz,12,True,0,0,87426,60,10,18,False
dawson.org,10,True,0,0,223041,69,9,20,True
wilson.com,10,False,0,0,32105,41,3,18,True
davis.biz,9,True,0,0,338071,69,2,14,True
henderson.org,13,True,0,0,394723,62,1,6,False
dickerson-clark.info,20,True,1,0,333397,33,6,7,False
short.biz,9,False,0,0,449321,57,13,11,False
casey.com,9,False,0,0,272673,30,12,18,False
tran.biz,8,False,0,0,42926,55,10,3,False
hester.biz,10,True,0,0,212849,50,0,8,False
maxwell.biz,11,False,0,0,281126,28,10,13,False
