domain,tld,is_https,url_length,num_hyphens,num_digits,num_special_chars,num_path_segments,has_ssl,whois_registrar,whois_country,domain_age_days,is_phishing
mercadolibre.com.ar,com.ar,0,19,0,0,0,0,1,nicar,Desconocido,4252,0
lanacion.com.ar,com.ar,0,15,0,0,0,0,1,nicar,Desconocido,4309,0
promiedos.com.ar,com.ar,0,16,0,0,0,0,1,Error,Error,-1,0
google.com.ar,com.ar,0,13,0,0,0,0,1,nicar,Desconocido,4241,0
anses.gob.ar,gob.ar,0,12,0,0,0,0,1,nicar,Desconocido,4080,0
pagina12.com.ar,com.ar,0,15,0,2,0,0,1,nicar,Desconocido,4269,0
mercadopago.com.ar,com.ar,0,18,0,0,0,0,1,nicar,Desconocido,4252,0
tn.com.ar,com.ar,0,9,0,0,0,0,1,nicar,Desconocido,4295,0
lavoz.com.ar,com.ar,0,12,0,0,0,0,1,nicar,Desconocido,4290,0
afip.gob.ar,gob.ar,0,11,0,0,0,0,1,nicar,Desconocido,4240,0
ole.com.ar,com.ar,0,10,0,0,0,0,1,nicar,Desconocido,4309,0
claro.com.ar,com.ar,0,12,0,0,0,0,1,nicar,Desconocido,4207,0
losandes.com.ar,com.ar,0,15,0,0,0,0,1,nicar,Desconocido,4254,0
espn.com.ar,com.ar,0,11,0,0,0,0,1,nicar,Desconocido,4172,0
diariouno.com.ar,com.ar,0,16,0,0,0,0,1,Error,Error,-1,0
correoargentino.com.ar,com.ar,0,22,0,0,0,0,0,nicar,Desconocido,4304,0
argentina.gob.ar,gob.ar,0,16,0,0,0,0,1,nicar,Desconocido,4309,0
solodeportes.com.ar,com.ar,0,19,0,0,0,0,1,Error,Error,-1,0
zonaprop.com.ar,com.ar,0,15,0,0,0,0,0,nicar,Desconocido,4305,0
meteored.com.ar,com.ar,0,15,0,0,0,0,1,nicar,Desconocido,4252,0
educacion.gob.ar,gob.ar,0,16,0,0,0,0,0,nicar,Desconocido,4310,0
bplay.bet.ar,bet.ar,0,12,0,0,0,0,0,nicar,Desconocido,4542,0
tujugada.com.ar,com.ar,0,15,0,0,0,0,0,nicar,Desconocido,4226,0
jugandoonline.com.ar,com.ar,0,20,0,0,0,0,1,nicar,Desconocido,4306,0
mrse.com.ar,com.ar,0,11,0,0,0,0,0,nicar,Desconocido,4305,0
betano.bet.ar,bet.ar,0,13,0,0,0,0,0,nicar,Desconocido,4542,0
uba.ar,ar,0,6,0,0,0,0,1,nicar,Desconocido,4052,0
unc.edu.ar,edu.ar,0,10,0,0,0,0,1,Error,Error,-1,0
unlp.edu.ar,edu.ar,0,11,0,0,0,0,1,Error,Error,-1,0
dexter.com.ar,com.ar,0,13,0,0,0,0,0,Error,Error,-1,0
telecentro.net.ar,net.ar,0,17,0,0,0,0,1,Desconocido,Desconocido,-1,0
lagaceta.com.ar,com.ar,0,15,0,0,0,0,1,Desconocido,Desconocido,-1,0
bancogalicia.com.ar,com.ar,0,19,0,0,0,0,1,Desconocido,Desconocido,-1,0
bna.com.ar,com.ar,0,10,0,0,0,0,1,Desconocido,Desconocido,-1,0
personal.com.ar,com.ar,0,15,0,0,0,0,1,Desconocido,Desconocido,-1,0
bbva.com.ar,com.ar,0,11,0,0,0,0,1,Desconocido,Desconocido,-1,0
ciudad.com.ar,com.ar,0,13,0,0,0,0,1,Desconocido,Desconocido,-1,0
scba.gov.ar,gov.ar,0,11,0,0,0,0,1,Desconocido,Desconocido,-1,0
betsson.bet.ar,bet.ar,0,14,0,0,0,0,1,Desconocido,Desconocido,-1,0
bancoprovincia.com.ar,com.ar,0,21,0,0,0,0,0,Desconocido,Desconocido,-1,0
buenosaires.gob.ar,gob.ar,0,18,0,0,0,0,1,Desconocido,Desconocido,-1,0
adidas.com.ar,com.ar,0,13,0,0,0,0,0,Desconocido,Desconocido,-1,0
cetrogar.com.ar,com.ar,0,15,0,0,0,0,1,Desconocido,Desconocido,-1,0
mercadoshops.com.ar,com.ar,0,19,0,0,0,0,1,Desconocido,Desconocido,-1,0
ruta1000.com.ar,com.ar,0,15,0,4,0,0,1,Desconocido,Desconocido,-1,0
