variable,descripcion,variable_estandar,dimension
ap03_blanco,¿Cuál es el sexo que figura en tu DNI? - Blanco,sexo,estudiante
ap03_no_disponible,¿Cuál es el sexo que figura en tu DNI? - No disponible,sexo,estudiante
ap03_multimarca,¿Cuál es el sexo que figura en tu DNI? - Multimarca,sexo,estudiante
ap03_masculino,¿Cuál es el sexo que figura en tu DNI? - Masculino,sexo,estudiante
ap03_femenino,¿Cuál es el sexo que figura en tu DNI? - Femenino,sexo,estudiante
ap03_x,¿Cuál es el sexo que figura en tu DNI? - X,sexo,estudiante
ap27f_blanco,"En general, ¿cuáles fueron los tres principales motivos de las inasistencias? [Tenía que ayudar con las tareas del hogar] - Blanco",condiciones_hogar,trayectoria
ap27f_no_disponible,"En general, ¿cuáles fueron los tres principales motivos de las inasistencias? [Tenía que ayudar con las tareas del hogar] - No disponible",condiciones_hogar,trayectoria
ap27f_no_selecciona,"En general, ¿cuáles fueron los tres principales motivos de las inasistencias? [Tenía que ayudar con las tareas del hogar] - No selecciona",condiciones_hogar,trayectoria
ap27f_selecciona,"En general, ¿cuáles fueron los tres principales motivos de las inasistencias? [Tenía que ayudar con las tareas del hogar] - Selecciona",condiciones_hogar,trayectoria
ap29j_blanco,"Recordando los momentos en los que no hubo clases presenciales, ¿te parece que las siguientes situaciones impactaron de manera negativa en tus aprendizajes?  [Situaciones familiares (enfermedad, desocupación, pérdida de un familiar, etc.)] - Blanco",edad,estudiante
ap29j_no_disponible,"Recordando los momentos en los que no hubo clases presenciales, ¿te parece que las siguientes situaciones impactaron de manera negativa en tus aprendizajes?  [Situaciones familiares (enfermedad, desocupación, pérdida de un familiar, etc.)] - No disponible",edad,estudiante
ap29j_multimarca,"Recordando los momentos en los que no hubo clases presenciales, ¿te parece que las siguientes situaciones impactaron de manera negativa en tus aprendizajes?  [Situaciones familiares (enfermedad, desocupación, pérdida de un familiar, etc.)] - Multimarca",edad,estudiante
ap29j_sí,"Recordando los momentos en los que no hubo clases presenciales, ¿te parece que las siguientes situaciones impactaron de manera negativa en tus aprendizajes?  [Situaciones familiares (enfermedad, desocupación, pérdida de un familiar, etc.)] - Sí",edad,estudiante
ap29j_no,"Recordando los momentos en los que no hubo clases presenciales, ¿te parece que las siguientes situaciones impactaron de manera negativa en tus aprendizajes?  [Situaciones familiares (enfermedad, desocupación, pérdida de un familiar, etc.)] - No",edad,estudiante
apa34h_blanco,"Al finalizar el secundario, ¿qué proyectos inmediatos tenés? [Realizar trabajos solidarios o comunitarios (participación en comedores, asistencia a personas mayores, acciones religiosas, etc.)] - Blanco",trabaja,trayectoria
apa34h_no_corresponde,"Al finalizar el secundario, ¿qué proyectos inmediatos tenés? [Realizar trabajos solidarios o comunitarios (participación en comedores, asistencia a personas mayores, acciones religiosas, etc.)] - No corresponde",trabaja,trayectoria
apa34h_no_selecciona,"Al finalizar el secundario, ¿qué proyectos inmediatos tenés? [Realizar trabajos solidarios o comunitarios (participación en comedores, asistencia a personas mayores, acciones religiosas, etc.)] - No selecciona",trabaja,trayectoria
apa34h_selecciona,"Al finalizar el secundario, ¿qué proyectos inmediatos tenés? [Realizar trabajos solidarios o comunitarios (participación en comedores, asistencia a personas mayores, acciones religiosas, etc.)] - Selecciona",trabaja,trayectoria
edada_junio2022_blanco,Edad a Junio 2022 - Blanco,edad,estudiante
edada_junio2022_14_años,Edad a Junio 2022 - 14 años,edad,estudiante
edada_junio2022_15_años,Edad a Junio 2022 - 15 años,edad,estudiante
edada_junio2022_16_años,Edad a Junio 2022 - 16 años,edad,estudiante
edada_junio2022_17_años,Edad a Junio 2022 - 17 años,edad,estudiante
edada_junio2022_18_años,Edad a Junio 2022 - 18 años,edad,estudiante
edada_junio2022_19_años,Edad a Junio 2022 - 19 años,edad,estudiante
